LAS HUERTAS. COLECTIVO AGROECOLÓGICO DE LA VERA,,,
,,,
"Productoras/es de la Vera que vendemos, bajo la modalidad ""a distancia"" nuestra produccion agroecologica, cumpliendo el Decreto 17/2021, de 24 de marzo, por el que se regula el suministro directo por titulares de explotaciones agrarias de pequeñas cantidades de productos primarios",,,
,,,
,,,
,,,
,Listado de Productos 5/11/2025,,
,,,
VERDURAS,Unidades,Precio ,Origen
Acelgas,Manojo 300 g,"2,00 €",Antonio (Jarandilla de la Vera)
Ajo,kilo,"8,00 €",Antonio (Jarandilla de la Vera)
Berenjenas (pocas),kilo,"2,20 €",Asociación Trupindaína (Robledillo de la Vera)
Borrajas (pocas),manojo 200 g,"2,00 €",Carla Requena (Jarandilla de la Vera)
Calabaza,kilo,"2,00 €",Lazinka (Aldeanueva de la Vera)
Cebolla,kilo,"2,00 €",Antonio (Jarandilla de la Vera)
Col China,unidad,"2,00 €",Antonio (Jarandilla de la Vera)
Col Kale,manojo 200 g,"1,80 €",Asociación Trupindaína (Robledillo de la Vera)
Espinacas (pocas),bolsa 150 g,"2,50 €",Asociación Trupindaína (Robledillo de la Vera)
Lechuga,unidad,"1,50 €",Asociación Trupindaína (Robledillo de la Vera)
Mazorca maíz dulce,unidad,"1,00 €",Carla Requena (Jarandilla de la Vera)
Nabizas (grelos),manojo 250 g,"1,00 €",Asociación Trupindaína (Robledillo de la Vera)
Nabo Daikon,kilo,"3,50 €",Asociación Trupindaína (Robledillo de la Vera)
Ortiga,manojo (100g),"1,50 €",Carla Requena (Jarandilla de la Vera) 
Pack Choi,unidad,"2,00 €",Antonio (Jarandilla de la Vera)
Pimiento rojo y verde (pequeños),kilo,"3,80 €",Asociación Trupindaína (Robledillo de la Vera)
Puerros,manojo (5-6 ud),"1,80 €",Antonio (Jarandilla de la Vera)
Radicho,unidad,"1,50 €",Antonio (Jarandilla de la Vera)
Ruibarbo,manojo (200 g),"1,00 €",Carla Requena (Jarandilla de la Vera)
, ,,
FRUTA,Unidades,Precio ( €) ,Origen
Caqui maduro,kilo,"3,00 €",Marta (Jarandilla de la Vera)
Caqui para madurar,kilo,"3,00 €",Carla Requena (Jarandilla de la Vera)
Membrillo,kilo,"2,00 €",Carla Requena (Jarandilla de la Vera)/Marta (Jarandilla de la Vera)
Uva,racimo,"1,20 €",Antonio (Jarandilla de la Vera)
,,,
,,,
HIERBAS AROMÁTICAS,Unidades,Precio ( €) ,Origen
Laurel,bolsita (20 g),"1,00 €",Carla Requena (Jarandilla de la Vera)
Albahaca,manojo 75gr,"1,00 €",Asociación Trupindaína (Robledillo de la Vera)
,,,
OTROS,Unidades,Precio ( €) ,Origen
Huevos,Docena,"4,00 €",Antonio(Jarandilla de la Vera)
,,,
,,,
,,,
,IMPORTANTE: Los pedidos se atenderán por orden de llegada,,
